caso sem troca
iteração	 vencidas	 perdidas	 porcentagem	
899	302	597	0.3359288097886541
900	302	598	0.33555555555555555
901	302	599	0.33518312985571586
902	302	600	0.3348115299334812
903	303	600	0.33554817275747506
904	304	600	0.336283185840708
905	305	600	0.3370165745856354
906	305	601	0.336644591611479
907	306	601	0.33737596471885334
908	307	601	0.3381057268722467
909	308	601	0.3388338833883388
910	308	602	0.3384615384615385
911	308	603	0.3380900109769484
912	308	604	0.33771929824561403
913	308	605	0.3373493975903614
914	309	605	0.33807439824945296
915	310	605	0.33879781420765026
916	310	606	0.3384279475982533
917	310	607	0.33805888767720826
918	311	607	0.33877995642701525
919	312	607	0.3394994559303591
920	312	608	0.3391304347826087
921	313	608	0.33984799131378934
922	313	609	0.33947939262472887
923	313	610	0.3391115926327194
924	313	611	0.33874458874458874
925	313	612	0.33837837837837836
926	313	613	0.33801295896328293
927	313	614	0.3376483279395901
928	313	615	0.33728448275862066
929	313	616	0.3369214208826695
930	314	616	0.33763440860215055
931	314	617	0.3372717508055854
932	314	618	0.3369098712446352
933	315	618	0.33762057877813506
934	316	618	0.33832976445396146
935	316	619	0.33796791443850266
936	317	619	0.3386752136752137
937	318	619	0.33938100320170755
938	318	620	0.3390191897654584
939	318	621	0.33865814696485624
