caso com troca
iteração	 vencidas	 perdidas	 porcentagem	
919	606	313	0.6594124047878128
920	607	313	0.6597826086956522
921	607	314	0.6590662323561346
922	608	314	0.6594360086767896
923	609	314	0.6598049837486457
924	610	314	0.6601731601731602
925	611	314	0.6605405405405406
926	612	314	0.6609071274298056
927	612	315	0.6601941747572816
928	613	315	0.6605603448275862
929	613	316	0.6598493003229279
930	614	316	0.6602150537634408
931	615	316	0.6605800214822771
932	616	316	0.6609442060085837
933	617	316	0.6613076098606645
934	618	316	0.6616702355460385
935	619	316	0.6620320855614973
936	620	316	0.6623931623931624
937	621	316	0.6627534685165422
938	622	316	0.6631130063965884
939	623	316	0.663471778487753
940	624	316	0.6638297872340425
941	625	316	0.6641870350690755
942	626	316	0.6645435244161358
